white;black;event;year;heatmap
Gulko, Boris F;Kasparov, Gary;Horgen;1995;0.41,0.02,0.18,0.5,0.23,0.34,1.0,0.14,0.11,0.1,0.17,0.25,0.06,0.27,0.38,0.16,0.01,0.12,0.1,0.21,0.0,0.0,0.22,0.08,0.0,0.14,0.06,-0.19,0.21,0.01,0.0,-0.06,0.08,-0.28,-0.0,0.01,-0.14,0.0,-0.06,-0.02,-0.02,0.0,-0.2,-0.12,-0.1,-0.07,-0.29,-0.04,0.04,-0.1,-0.07,-0.22,-0.12,-0.24,-0.7,-0.25,-0.33,-0.06,-0.16,-0.47,-0.21,-0.37,-0.5,-0.2
Panno, Oscar;Averbakh, Yuri L;ARG-URS;1954;0.22,0.04,0.08,0.5,0.4,0.12,0.91,0.09,0.07,0.1,0.09,0.29,0.11,0.47,0.21,0.15,0.09,0.0,0.2,0.07,0.17,0.21,0.06,0.0,0.02,0.09,-0.1,0.08,0.12,-0.08,-0.1,0.03,-0.04,-0.11,0.04,0.1,-0.14,-0.0,-0.05,-0.07,0.05,-0.07,0.0,0.0,-0.04,-0.07,-0.02,0.0,-0.06,-0.3,-0.42,-0.34,-0.01,-0.31,-0.44,-0.12,-0.16,-0.07,-0.08,-0.42,-0.2,-0.23,-1.0,-0.09
Reshevsky, Samuel Herman;Fischer, Robert James;USA-ch;1963;0.38,0.11,0.11,0.5,0.28,0.32,0.69,0.11,0.03,0.17,-0.18,0.02,0.18,0.12,0.22,0.12,0.01,-0.01,-0.08,-0.02,0.1,0.14,0.09,-0.1,0.01,0.08,-0.0,0.13,-0.03,0.0,-0.06,0.0,-0.0,0.22,-0.05,-0.06,-0.04,0.0,0.0,0.17,-0.01,-0.03,-0.12,-0.03,-0.07,-0.33,0.0,0.0,-0.06,-0.05,-0.0,-0.01,-0.05,-0.12,-0.12,-0.08,-0.19,-0.0,-0.23,-0.38,-0.25,-0.4,-1.0,-0.19
Polgar, Judit;Polugaevsky, Lev;Roquebrune rapid;1992;0.21,0.03,0.16,0.27,0.47,0.46,0.07,1.0,0.05,0.13,0.21,0.1,0.19,0.2,0.22,0.15,0.06,0.08,-0.03,0.14,0.27,0.34,-0.02,0.04,-0.05,-0.01,0.07,0.0,0.11,0.07,0.0,0.0,-0.03,0.05,-0.18,-0.04,-0.07,-0.01,-0.01,0.0,-0.03,-0.13,0.0,-0.13,-0.04,-0.51,-0.04,-0.02,-0.02,-0.21,-0.34,-0.18,-0.1,-0.16,-0.19,-0.17,-0.33,-0.05,-0.06,-0.21,-0.6,-0.23,-0.86,-0.24
Behrhorst, Frank;Kasparov, Gary;HSK-Kasparov simul;1985;0.25,0.09,-0.1,0.2,1.0,0.19,0.26,0.31,-0.02,-0.01,-0.05,-0.03,0.03,0.14,0.14,0.09,-0.01,0.04,0.0,0.0,0.16,0.15,0.0,0.05,0.0,-0.0,0.06,-0.17,-0.05,0.26,0.02,0.0,0.0,-0.09,-0.03,-0.01,-0.05,-0.05,0.21,0.0,0.02,0.0,-0.05,0.02,-0.05,-0.05,-0.16,0.0,-0.05,-0.04,-0.02,-0.06,-0.31,-0.12,-0.06,-0.15,-0.26,-0.01,-0.17,-0.26,-0.17,-0.55,-0.43,-0.08
Kasparov, Gary;Gligoric, Svetozar;Bugojno;1982;0.24,0.1,0.9,0.31,0.54,0.24,0.03,0.28,0.01,0.15,0.28,0.0,0.05,0.14,0.12,0.16,0.15,0.0,0.05,0.32,0.0,0.36,0.01,0.0,0.08,0.02,0.02,-0.02,0.09,0.11,0.0,0.02,0.0,0.06,-0.12,0.01,0.02,0.0,0.04,-0.0,0.12,-0.15,-0.25,0.11,-0.02,0.0,-0.14,-0.0,-0.11,0.12,0.08,0.09,-0.22,-0.16,-0.25,-0.16,-0.45,-0.2,-0.24,-0.45,-0.88,-0.28,-1.0,-0.37
Kasparov,G;Khalifman,A;SuperGM;2000;0.11,0.01,0.67,0.37,0.31,0.12,0.06,0.3,0.01,0.15,0.13,0.5,0.06,0.11,0.04,0.04,0.13,0.02,0.17,0.05,0.13,0.04,0.06,0.05,-0.01,0.06,-0.01,0.24,0.01,0.09,0.05,0.1,-0.12,-0.06,0.03,-0.14,0.1,0.0,0.09,-0.09,-0.01,-0.04,-0.07,-0.01,-0.14,-0.05,-0.11,0.0,-0.18,-0.04,-0.07,-0.13,-0.07,-0.15,-0.22,-0.06,-0.51,-0.03,-0.19,-0.33,-0.25,-1.0,-0.05,-0.26
Panno, Oscar;Rubinetti, Jorge A;YMCA;1977;0.12,0.02,0.15,0.22,0.68,0.07,0.05,0.26,0.09,0.02,0.06,0.04,0.49,0.1,0.1,0.04,0.0,0.14,0.09,0.0,0.08,0.05,0.06,0.0,0.01,0.06,0.39,0.04,0.05,0.04,0.01,0.0,0.0,0.03,0.0,0.06,-0.06,0.0,0.0,-0.02,-0.01,0.0,-0.06,-0.03,-0.03,-0.06,-0.09,0.0,-0.09,-0.1,-0.1,-0.05,-0.33,-0.1,-0.08,-0.1,-0.25,-0.06,-0.05,-0.47,-0.25,-0.19,-1.0,-0.07
Fischer, Robert James;Durao, Joaquim;La Habana olm prel;1966;0.47,0.13,0.2,0.28,0.6,0.54,0.61,0.11,0.08,0.23,0.03,0.11,0.97,0.14,0.15,0.23,0.02,0.22,0.2,0.03,0.0,0.21,0.12,0.14,0.15,0.0,0.12,0.0,0.22,0.09,0.09,0.03,-0.1,0.0,-0.24,-0.1,0.18,0.0,0.02,0.0,-0.02,-0.08,-0.43,-0.0,-0.22,0.06,-0.21,-0.12,-0.21,-0.05,-0.08,-0.13,-0.18,-0.15,-0.23,-0.11,-0.46,-0.03,-0.31,-0.92,-0.67,-0.39,-1.0,-0.14
Kasparov, Gary;Zifroni, Dov;Israel sim;1994;0.35,0.03,0.11,0.78,0.59,0.1,1.0,0.19,0.16,0.16,0.07,0.09,0.22,0.16,0.2,0.11,0.0,0.19,0.11,0.2,0.09,0.64,0.08,0.0,-0.06,0.0,0.0,0.04,0.01,-0.07,0.1,0.0,0.0,0.05,-0.03,-0.13,0.02,-0.29,0.0,0.0,-0.1,0.0,-0.07,-0.22,-0.13,0.0,-0.18,-0.06,-0.06,-0.13,0.04,-0.29,-0.26,-0.3,-0.09,-0.04,-0.41,-0.05,-0.19,-0.93,-0.4,-0.32,-0.84,-0.21
Polgar,Ju;Svidler,P;World Blitz;2009;0.31,0.16,0.04,0.45,0.19,0.28,1.0,0.35,0.04,0.07,0.03,0.09,0.01,0.05,0.18,0.45,0.0,0.01,0.06,0.08,-0.0,0.2,0.13,0.12,0.02,-0.0,-0.02,0.0,0.29,-0.01,0.02,0.0,0.0,-0.05,-0.1,0.06,-0.09,-0.07,0.0,0.0,-0.03,-0.09,-0.09,-0.02,-0.04,-0.05,0.0,-0.14,-0.01,-0.02,-0.14,-0.08,-0.06,-0.06,-0.16,-0.78,-0.16,-0.1,-0.04,-0.69,-0.29,-0.39,-0.43,-0.61
Fischer, Robert James;Spassky, Boris V;St Stefan/Belgrade m;1992;0.43,0.01,0.05,0.32,0.7,0.53,0.89,0.21,0.06,0.17,0.15,-0.03,-1.0,0.37,0.32,0.08,0.1,0.03,-0.11,0.17,0.0,0.0,0.15,0.04,0.07,-0.04,0.0,-0.22,0.3,0.19,0.11,0.07,0.05,0.0,-0.19,0.14,0.07,-0.13,0.09,0.11,0.01,0.0,-0.08,-0.17,-0.25,-0.09,-0.12,0.04,-0.24,-0.13,-0.0,-0.11,-0.17,0.09,-0.82,0.05,0.33,-0.03,-0.44,-0.68,-0.64,-0.19,-0.18,-0.38
Farboud, M.;Panno, Oscar;Varna olm;1962;0.27,0.1,0.41,0.78,0.48,0.48,0.99,0.17,0.07,0.19,0.18,0.14,0.16,0.16,0.26,0.12,0.09,0.14,0.03,0.12,0.0,0.2,0.1,0.01,0.0,0.0,0.1,-0.1,0.01,-0.07,-0.02,-0.02,-0.08,0.0,0.12,0.0,-0.07,-0.04,0.0,-0.16,0.0,0.0,-0.11,-0.07,-0.08,-0.08,-0.15,0.0,-0.07,-0.16,-0.09,-0.03,-0.03,-0.41,-0.29,-0.14,-0.63,-0.08,-0.17,-0.93,-0.21,-0.22,-0.32,-1.0
Lautier, Joel;Polgar, Judit;Linares;1994;0.27,-0.05,0.26,0.34,0.34,0.25,1.0,0.1,0.15,0.15,0.01,0.01,0.05,0.15,0.14,0.24,0.0,0.04,0.03,0.0,0.0,0.26,0.04,0.06,-0.06,0.0,0.03,0.13,0.01,0.03,0.01,0.0,0.04,0.04,0.07,-0.15,0.0,-0.14,0.0,-0.01,-0.06,0.16,-0.17,-0.08,0.04,-0.12,-0.05,-0.14,-0.18,-0.15,-0.02,-0.28,-0.12,-0.24,-0.15,-0.38,-0.22,-0.03,-0.16,-0.22,-0.27,-0.16,-0.57,-0.18
