A;B;C
Imagino un partido apasionante;aunque por momentos aburrido y lento;en el que la victoria puede ser para cualquiera.
No imagino gran cosa;un partido trabado en el mediocampo y lleno de contrataques imprecisos;con errores de ambos lados.
Hay muchos partidos que imagino mejores que este;una lucha intrascendente entre dos malos equipos;con alguna que otra posición adelantada.
Veo un enfrentamiento lleno de polémicas;con decisiones arbitrales muy discutibles;con miles de pelotazos a la tribuna.
Un partido malo;con muy poco para comentar en realidad;no estoy seguro de que el fútbol sea esto.
Qué partido más interesante;lleno de tomas de la tribuna haciendo la ola;con goles a favor y en contra.
Creo que será el mejor partido del torneo;con jugadores corriendo miles de kilómetros;con pelotas explotando por el calor.
Una enfrentamiento de clases;en el que delanteros y defensores se confunden todo el tiempo;una fiesta de malas decisiones.
Un partido increíble;con cantos líricos en la tribuna;con decenas de pelotas en el palo.
Un partido propio de este mundial impredecible;con muchas intervenciones del VAR;con montones de goles anulados.
Hay partidos entretenidos y está éste;muy cortado con faltas y lleno de tarjetas de colores;una lucha entre barrabravas.
Las tribunas se vaciaron antes de que termine este partido aburrido;con 2 o 3 pelotas pinchadas como lo más emocionante;en el que nadie se emocionó.
Un duro choque de potencias;dos equipos sin ideas para hacer circular la pelota;con una pelota que nadie supo encontrar.
Un partido que será recordado por siempre;con actuaciones increíbles de estrellas de Hollywood en las tribunas;lleno de centros a ningún lado y remates intergalácticos.
El ruido ensordecedor del público no dejó de oírse todo el partido;los jugadores no supieron encontrar el gol durante los noventa minutos;en el tiempo agregado no pasó nada.
Un partidazo para alquilar un helicóptero y verlo desde arriba;con una circulación del balón veloz y precisa;con contraataques cortados con faltas violentas.
Pocos partidos como éste para tener tiempo de hacer café en pleno primer tiempo;no pasó nada durante los primeros 45 minutos;no pasó nada durante los últimos 45 minutos.
El partido que se lleva el mejor gol del mundial;con miles de pases precisos y remates certeros;quizás nunca volvamos a ver un partido así.
El partido para volver a ver una y otra vez;un partido que empieza a comprenderse después de verlo 2 o 3 veces;con un resultado abierto hasta el último segundo.
